type,name,text,x,y,width,height,file
Text,"CommandName_4","돌파 베기",992,399,153,57,"Text/Text_CommandName_4.png"
Text,"CommandDamage_4","피해 12~18",991,535,153,45,"Text/Text_CommandDamage_4.png"
Text,"CommandCost_4","2",1122,443,59,62,"Text/Text_CommandCost_4.png"
Button,"CommandButton_5","",698,521,213,69,"Button/Button_CommandButton_5.png"
Text,"CommandName_5","반격 태세",728,541,153,49,"Text/Text_CommandName_5.png"
Text,"CommandCost_5","1",858,586,59,4,"Text/Text_CommandCost_5.png"
Text,"TurnAPText","3/4",46,458,94,63,"Text/Text_TurnAPText.png"
Button,"EndTurnButton","",1187,408,409,162,"Button/Button_EndTurnButton.png"
Text,"EndTurnLabel","턴 종료",1307,437,170,84,"Text/Text_EndTurnLabel.png"
Button,"ConfirmButton","",1187,198,409,195,"Button/Button_ConfirmButton.png"
Text,"ConfirmLabel","확정",1236,244,312,95,"Text/Text_ConfirmLabel.png"
Text,"PartyHPText_0","90/100",272,91,161,48,"Text/Text_PartyHPText_0.png"
Text,"PartyName_0","기사",219,59,181,55,"Text/Text_PartyName_0.png"
Text,"PartyAPText_0","3/4",272,133,161,49,"Text/Text_PartyAPText_0.png"
Text,"PartyLevel_0","Lv 1",384,69,84,39,"Text/Text_PartyLevel_0.png"
Button,"PartyButton_0","",99,20,387,134,"Button/Button_PartyButton_0.png"
Text,"PartyHPText_1","100/100",272,227,161,48,"Text/Text_PartyHPText_1.png"
Text,"PartyName_1","궁수",219,195,181,55,"Text/Text_PartyName_1.png"
Text,"PartyAPText_1","4/4",272,269,161,49,"Text/Text_PartyAPText_1.png"
Text,"PartyLevel_1","Lv 1",384,205,84,39,"Text/Text_PartyLevel_1.png"
Button,"PartyButton_1","",99,156,387,134,"Button/Button_PartyButton_1.png"
Text,"PartyHPText_2","75/100",272,363,161,48,"Text/Text_PartyHPText_2.png"
Text,"PartyName_2","마법사",219,331,181,55,"Text/Text_PartyName_2.png"
Text,"PartyAPText_2","4/4",272,405,161,49,"Text/Text_PartyAPText_2.png"
Text,"PartyLevel_2","Lv 1",384,341,84,39,"Text/Text_PartyLevel_2.png"
Button,"PartyButton_2","",99,292,387,134,"Button/Button_PartyButton_2.png"
Text,"MercenaryInventoryTabText","인벤토리",229,451,198,54,"Text/Text_MercenaryInventoryTabText.png"
Button,"MercenaryInventoryButton","",99,431,389,134,"Button/Button_MercenaryInventoryButton.png"
Text,"MercenaryDetailName","기사",887,13,573,76,"Text/Text_MercenaryDetailName.png"
Text,"MercenaryChip0Label","HP",959,114,129,50,"Text/Text_MercenaryChip0Label.png"
Text,"MercenaryDetailHP","90/100",1122,114,180,50,"Text/Text_MercenaryDetailHP.png"
Text,"MercenaryChip1Label","AP",959,186,129,50,"Text/Text_MercenaryChip1Label.png"
Text,"MercenaryDetailAP","3/4",1122,186,180,50,"Text/Text_MercenaryDetailAP.png"
Text,"MercenaryChip2Label","속도",959,258,129,50,"Text/Text_MercenaryChip2Label.png"
Text,"MercenaryDetailSpeed","5",1122,258,180,50,"Text/Text_MercenaryDetailSpeed.png"
Text,"MercenarySkillHeading","스킬",536,395,938,36,"Text/Text_MercenarySkillHeading.png"
Text,"MercenarySkillCost_0","1",608,447,40,40,"Text/Text_MercenarySkillCost_0.png"
Button,"MercenarySkillButton_0","",524,441,130,130,"Button/Button_MercenarySkillButton_0.png"
Text,"MercenarySkillCost_1","1",771,447,39,40,"Text/Text_MercenarySkillCost_1.png"
Button,"MercenarySkillButton_1","",686,441,131,130,"Button/Button_MercenarySkillButton_1.png"
Text,"MercenarySkillCost_2","2",933,447,40,40,"Text/Text_MercenarySkillCost_2.png"
Button,"MercenarySkillButton_2","",848,441,131,130,"Button/Button_MercenarySkillButton_2.png"
Text,"MercenarySkillCost_3","1",1095,447,40,40,"Text/Text_MercenarySkillCost_3.png"
Button,"MercenarySkillButton_3","",1011,441,131,130,"Button/Button_MercenarySkillButton_3.png"
Text,"MercenarySkillCost_4","2",1258,447,39,40,"Text/Text_MercenarySkillCost_4.png"
Button,"MercenarySkillButton_4","",1173,441,131,130,"Button/Button_MercenarySkillButton_4.png"
Text,"MercenarySkillCost_5","1",1420,447,40,40,"Text/Text_MercenarySkillCost_5.png"
Button,"MercenarySkillButton_5","",1336,441,130,130,"Button/Button_MercenarySkillButton_5.png"
Text,"MercenaryCritLabel","치명타",959,330,149,62,"Text/Text_MercenaryCritLabel.png"
Text,"MercenaryCritValue","-",1122,330,180,62,"Text/Text_MercenaryCritValue.png"
Text,"AllyAPText","AP  10 / 10",1237,299,143,43,"Text/Text_AllyAPText.png"
Text,"AllyHPText","HP  100 / 100",1245,247,297,41,"Text/Text_AllyHPText.png"
Text,"AllyName","기사",1174,163,298,66,"Text/Text_AllyName.png"
Text,"AllySpeedText","속도  5",1302,347,76,41,"Text/Text_AllySpeedText.png"
Text,"AllyStatusCount_0","2",1144,405,37,54,"Text/Text_AllyStatusCount_0.png"
Text,"AllyStatusCount_1","2",1230,405,37,54,"Text/Text_AllyStatusCount_1.png"
Text,"AllyStatusCount_2","2",1316,405,37,54,"Text/Text_AllyStatusCount_2.png"
Button,"AllyStatusButton_0","",1099,388,87,87,"Button/Button_AllyStatusButton_0.png"
Button,"AllyStatusButton_1","",1185,388,87,87,"Button/Button_AllyStatusButton_1.png"
Button,"AllyStatusButton_2","",1271,388,87,87,"Button/Button_AllyStatusButton_2.png"
Text,"AllyCritText","-",1430,302,91,44,"Text/Text_AllyCritText.png"
Text,"SkillToggleLabel","스킬",1338,261,108,84,"Text/Text_SkillToggleLabel.png"
Button,"SkillToggleButton","",1187,232,409,162,"Button/Button_SkillToggleButton.png"
Button,"CombatAnnouncementInputBlocker","",0,0,1600,590,"Button/Button_CombatAnnouncementInputBlocker.png"
